date,disaster_type,id,location,severity_index,year,month,day,day_of_week
,DISASTER_TYPE,Incident_Count,Location,Severity_Index,,,,
2021-07-16,FIRE,1,ESIAMA,1,2021.0,7.0,16.0,4.0
2019-11-02,WIND_STORM,1,AGONA NKWANTA,1,2019.0,11.0,2.0,5.0
2019-03-21,WIND_STORM,1,MPATASE,1,2019.0,3.0,21.0,3.0
2019-03-22,WIND_STORM,1,ABURA,1,2019.0,3.0,22.0,4.0
2019-03-23,WIND_STORM,1,AKWIDAA,1,2019.0,3.0,23.0,5.0
2019-04-25,WIND_STORM,1,BONWIRE JUNCTION,1,2019.0,4.0,25.0,3.0
2019-01-05,WIND_STORM,1,AHOBRE,1,2019.0,1.0,5.0,5.0
2019-01-05,WIND_STORM,1,ESIAMA,1,2019.0,1.0,5.0,5.0
2019-05-21,WIND_STORM,1,ESIAMA,1,2019.0,5.0,21.0,1.0
2019-05-21,FLOOD,1,"ABURA,AGONA",1,2019.0,5.0,21.0,1.0
2021-07-16,RAIN_STORM,1,ESIAMA,1,2021.0,7.0,16.0,4.0
2019-10-14,FLOOD,2,"ABURA,AGONA",1,2019.0,10.0,14.0,0.0
2019-11-23,FLOOD,1,DIXCOVE,1,2019.0,11.0,23.0,5.0
2019-07-03,RAIN_STORM,1,"ESSIPONG,ESSAMAM,MPINTSIN",1,2019.0,7.0,3.0,2.0
2019-01-05,RAIN_STORM,1,ESIAMA,1,2019.0,1.0,5.0,5.0
2019-05-31,FLOOD,1,ESIAMA,1,2019.0,5.0,31.0,4.0
2019-10-11,FLOOD,1,ESHIEM,1,2019.0,10.0,11.0,4.0
2019-02-19,RAIN_STORM,1,NYANSO,1,2019.0,2.0,19.0,1.0
2019-05-31,RAIN_STORM,1,ESIAMA,1,2019.0,5.0,31.0,4.0
2019-07-06,FLOOD,1,ESIAMA,1,2019.0,7.0,6.0,5.0
2019-07-06,RAIN_STORM,1,ESIAMA,1,2019.0,7.0,6.0,5.0
2019-04-07,RAIN_STORM,1,AKYIM,1,2019.0,4.0,7.0,6.0
2019-10-10,RAIN_STORM,1,NEW BENSO,1,2019.0,10.0,10.0,3.0
2019-10-10,RAIN_STORM,1,BENSO ATAKROM,1,2019.0,10.0,10.0,3.0
2019-11-27,WIND_STORM,1,NSUAEM,1,2019.0,11.0,27.0,2.0
2019-03-24,RAIN_STORM,1,COCOA TOWN,1,2019.0,3.0,24.0,6.0
2019-03-24,RAIN_STORM,1,JAWAY,1,2019.0,3.0,24.0,6.0
2019-05-30,FLOOD,1,ESIAMA,1,2019.0,5.0,30.0,3.0
2019-10-12,FLOOD,1,"JOMRO,MANTSEMANKABI,MENTUKWA,ELEBO ZONGO,NEWTOWN,BANYIN,ELEBO CEMETRY,ELEBO GYINAKRO,ELEBO POST OFFICE",1,2019.0,10.0,12.0,5.0
2019-10-13,FLOOD,1,GYINAKO,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,POST OFFICE,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,MANTEMANKABI,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,ZONGO,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,NDABULA,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,COCOA TOWN,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,GHANA NUNGUA,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,NSUANO,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,MARKET,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,NEW TOWN,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,AMAMAMO,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,MANTUKWA,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,BEYIN,1,2019.0,10.0,13.0,6.0
2019-12-19,FIRE,1,ENZINITIANU,1,2019.0,12.0,19.0,3.0
2019-07-03,RAIN_STORM,1,KOMFREKU,1,2019.0,7.0,3.0,2.0
,WIND_STORM,1,ESUMANKROM,1,,,,
2019-03-17,FLOOD,1,SHAMA KUMASI,1,2019.0,3.0,17.0,6.0
2019-04-14,FLOOD,1,ESIAMA,1,2019.0,4.0,14.0,6.0
2019-08-05,WIND_STORM,1,ESIAMA,1,2019.0,8.0,5.0,0.0
2019-01-05,TIDAL_WAVE,1,ESIAMA,1,2019.0,1.0,5.0,5.0
2021-07-16,WIND_STORM,1,ESIAMA,1,2021.0,7.0,16.0,4.0
2021-07-16,FLOOD,1,ESIAMA,1,2021.0,7.0,16.0,4.0
2019-10-14,FLOOD,1,AMISSAHKROM,1,2019.0,10.0,14.0,0.0
2019-10-14,FLOOD,1,UPPER INCHABAN,1,2019.0,10.0,14.0,0.0
2019-10-14,FLOOD,1,LOWER INCHABAN,1,2019.0,10.0,14.0,0.0
2019-10-14,FLOOD,1,NEW DABOASE JUNCTION,1,2019.0,10.0,14.0,0.0
2019-01-04,WIND_STORM,1,NKAKEM,1,2019.0,1.0,4.0,4.0
2019-05-27,RAIN_STORM,1,NKAKEM,1,2019.0,5.0,27.0,0.0
2019-05-31,WIND_STORM,1,ESIAMA,1,2019.0,5.0,31.0,4.0
2019-03-09,TIDAL_WAVE,1,AGYAN,1,2019.0,3.0,9.0,5.0
2019-11-10,FLOOD,1,"DUALE,AJOMORO,SIKA NYEASEM,AVREBO,NUABESA,GWIRA-BANSO,BAMIANKOR,SENTUM",1,2019.0,11.0,10.0,6.0
2019-10-14,FLOOD,1,"AVREBO,GWIRA BANSO,NUABESA",1,2019.0,10.0,14.0,0.0
2019-10-15,FLOOD,1,"DUALE,KUTUKROM,BAMIANKOR",1,2019.0,10.0,15.0,1.0
2019-10-16,FLOOD,1,"SENTUM,GWIRA ESIAM,",1,2019.0,10.0,16.0,2.0
2019-10-17,FLOOD,1,AJOMORO ESIAM,1,2019.0,10.0,17.0,3.0
2019-10-28,FLOOD,1,KAKUSUZO,1,2019.0,10.0,28.0,0.0
2019-10-27,FLOOD,1,AMANVUMANU,1,2019.0,10.0,27.0,6.0
2019-10-28,FLOOD,1,BOKRO,1,2019.0,10.0,28.0,0.0
2019-06-05,WIND_STORM,1,ESIAMA,1,2019.0,6.0,5.0,2.0
2019-05-13,WIND_STORM,1,ESIAMA,1,2019.0,5.0,13.0,0.0
2019-06-03,RAIN_STORM,1,ESIAMA,1,2019.0,6.0,3.0,0.0
2019-09-04,WIND_STORM,1,ESIAMA,1,2019.0,9.0,4.0,2.0
2019-10-13,FLOOD,1,SALMA,1,2019.0,10.0,13.0,6.0
2019-11-13,FLOOD,1,ADUBRIEM,1,2019.0,11.0,13.0,2.0
2019-10-13,FLOOD,1,AKROPONG,1,2019.0,10.0,13.0,6.0
2019-03-17,RAIN_STORM,1,NKAKAA,1,2019.0,3.0,17.0,6.0
2019-03-20,WIND_STORM,1,"KWASIKRU,SOMPRE",1,2019.0,3.0,20.0,2.0
2019-03-20,WIND_STORM,1,SOMPRE,1,2019.0,3.0,20.0,2.0
2019-03-22,RAIN_STORM,1,DWIFE,1,2019.0,3.0,22.0,4.0
2019-04-19,RAIN_STORM,1,ESIAMA,1,2019.0,4.0,19.0,4.0
2019-04-20,RAIN_STORM,1,ESIAMA,1,2019.0,4.0,20.0,5.0
2019-01-17,WIND_STORM,1,DABOASE,1,2019.0,1.0,17.0,3.0
2019-01-18,WIND_STORM,1,ATIEKU,1,2019.0,1.0,18.0,4.0
2019-01-27,WIND_STORM,1,SUBRI,1,2019.0,1.0,27.0,6.0
2019-04-11,WIND_STORM,1,SEKYEREKROBO,1,2019.0,4.0,11.0,3.0
2019-11-22,WIND_STORM,1,SEKYREADIEMBRA,1,2019.0,11.0,22.0,4.0
2019-07-04,RAIN_STORM,1,ESIAMA,1,2019.0,7.0,4.0,3.0
2019-07-05,RAIN_STORM,1,ESIAMA,1,2019.0,7.0,5.0,4.0
2019-10-12,FLOOD,1,"HOSPITAL RIDGE,EDUCATION OFFICED,YIRASE,ASUOHYIAM",1,2019.0,10.0,12.0,5.0
2019-03-26,RAIN_STORM,1,PRESTEA,1,2019.0,3.0,26.0,1.0
2019-02-05,FLOOD,1,ESIAMA,1,2019.0,2.0,5.0,1.0
2019-05-13,RAIN_STORM,1,ESIAMA,1,2019.0,5.0,13.0,0.0
2019-02-06,RAIN_STORM,1,ESIAMA,1,2019.0,2.0,6.0,2.0
2016-06-24,FLOOD,1,ESIAMA,1,2016.0,6.0,24.0,4.0
2019-10-24,FLOOD,1,PRESTEA,1,2019.0,10.0,24.0,3.0
2019-10-27,FLOOD,1,ABOSO,1,2019.0,10.0,27.0,6.0
2019-10-28,FLOOD,1,JUABEN,1,2019.0,10.0,28.0,0.0
2019-10-28,FLOOD,1,BEPPO,1,2019.0,10.0,28.0,0.0
2019-10-31,FLOOD,1,HIMAN,1,2019.0,10.0,31.0,3.0
2019-10-31,FLOOD,1,BOGOSO,1,2019.0,10.0,31.0,3.0
2019-10-03,WIND_STORM,1,"JAPA,ASUOJA,KROBO GYEDUA,DOMEABRA,WANTRAM",1,2019.0,10.0,3.0,3.0
2019-10-28,FLOOD,1,WASSA SAA,1,2019.0,10.0,28.0,0.0
2019-06-02,RAIN_STORM,1,SOUTH EFFIAKUMA ESTATE,1,2019.0,6.0,2.0,6.0
2019-01-05,RAIN_STORM,1,RAINSTORM,1,2019.0,1.0,5.0,5.0
2019-10-20,FLOOD,1,WHINDO NEWSITE,1,2019.0,10.0,20.0,6.0
2019-10-20,MAN_MADE,1,ASSAKAE,1,2019.0,10.0,20.0,6.0
2019-10-20,FLOOD,1,ANAJI OLD BRIGADE,1,2019.0,10.0,20.0,6.0
2019-10-20,FLOOD,1,KWESIMINTSIM,1,2019.0,10.0,20.0,6.0
2019-10-20,FLOOD,1,APREMDO TOWN,1,2019.0,10.0,20.0,6.0
2019-03-22,RAIN_STORM,1,ABODUAM,1,2019.0,3.0,22.0,4.0
2019-04-04,RAIN_STORM,1,ESIAMA,1,2019.0,4.0,4.0,3.0
2019-10-06,RAIN_STORM,1,ESIAMA,1,2019.0,10.0,6.0,6.0
2019-12-06,FLOOD,1,ESIAMA,1,2019.0,12.0,6.0,4.0
2019-01-07,RAIN_STORM,1,AHWIAM,1,2019.0,1.0,7.0,0.0
2019-10-07,RAIN_STORM,1,ASAWINSO,1,2019.0,10.0,7.0,0.0
2019-08-25,FLOOD,1,PEAWUDIE,1,2019.0,8.0,25.0,6.0
2019-09-16,RAIN_STORM,1,PABOASE,1,2019.0,9.0,16.0,0.0
2019-09-19,RAIN_STORM,1,FUTA,1,2019.0,9.0,19.0,3.0
2019-11-04,RAIN_STORM,1,"GYAKROM,AFRIKROM",1,2019.0,11.0,4.0,0.0
2019-11-12,FLOOD,1,SUSUMENELEE,1,2019.0,11.0,12.0,1.0
2019-03-21,RAIN_STORM,1,NEW GYASIKROM,1,2019.0,3.0,21.0,3.0
2019-01-18,RAIN_STORM,1,NYAKAMAM,1,2019.0,1.0,18.0,4.0
2019-01-18,RAIN_STORM,1,OMAPE,1,2019.0,1.0,18.0,4.0
2019-04-15,FLOOD,1,ESIAMA,1,2019.0,4.0,15.0,0.0
2019-04-18,PEST_INFESTATION,1,ESIAMA,1,2019.0,4.0,18.0,3.0
2019-07-09,RAIN_STORM,1,YAKASI,1,2019.0,7.0,9.0,1.0
2019-11-10,FLOOD,1,"ENCHI,OLD YKASE,NEW YAKASE,BOINSO,OMANYEPE",1,2019.0,11.0,10.0,6.0
2019-10-14,FLOOD,1,ENCHI,1,2019.0,10.0,14.0,0.0
2019-10-14,FLOOD,1,OLD YAKASI,1,2019.0,10.0,14.0,0.0
2019-10-15,FLOOD,1,NEW YAKASI,1,2019.0,10.0,15.0,1.0
2019-10-15,FLOOD,1,BOINSO,1,2019.0,10.0,15.0,1.0
2019-10-15,FLOOD,1,OMANYEPE,1,2019.0,10.0,15.0,1.0
2019-03-19,WIND_STORM,1,PROSO,1,2019.0,3.0,19.0,1.0
2019-03-19,WIND_STORM,1,KOFIKROM,1,2019.0,3.0,19.0,1.0
2019-01-06,WIND_STORM,1,ESIAMA,1,2019.0,1.0,6.0,6.0
2019-08-13,RAIN_STORM,1,BOINZAIN,1,2019.0,8.0,13.0,1.0
2019-10-02,FLOOD,1,JUABOSO,1,2019.0,10.0,2.0,2.0
2019-10-22,WIND_STORM,1,ADABOKROM,1,2019.0,10.0,22.0,1.0
2019-11-04,RAIN_STORM,1,ESIAMA,1,2019.0,11.0,4.0,0.0
2019-12-04,FLOOD,1,ESIAMA,1,2019.0,12.0,4.0,2.0
2019-10-19,FLOOD,1,MISIBA,1,2019.0,10.0,19.0,5.0
2019-10-20,FLOOD,1,AKONTOMBRA,1,2019.0,10.0,20.0,6.0
2019-10-22,FLOOD,1,ADABOKROM,1,2019.0,10.0,22.0,1.0
2019-10-23,FLOOD,1,AYISAKROM,1,2019.0,10.0,23.0,2.0
2019-10-28,LANDSLIDE,1,KABIESIE,1,2019.0,10.0,28.0,0.0
2019-11-19,RAIN_STORM,1,BOPA,1,2019.0,11.0,19.0,1.0
2019-01-28,RAIN_STORM,1,ADOBEWURA,1,2019.0,1.0,28.0,0.0
2019-02-02,RAIN_STORM,1,DEGEDE,1,2019.0,2.0,2.0,5.0
2019-10-03,RAIN_STORM,1,ATTAKROM,1,2019.0,10.0,3.0,3.0
2019-03-22,RAIN_STORM,1,BREMAN,1,2019.0,3.0,22.0,4.0
2019-09-04,RAIN_STORM,1,ESIAMA,1,2019.0,9.0,4.0,2.0
2019-06-24,FLOOD,1,ESIAMA,1,2019.0,6.0,24.0,0.0
2019-06-25,RAIN_STORM,1,ESIAMA,1,2019.0,6.0,25.0,1.0
2019-06-25,FLOOD,1,ESIAMA,1,2019.0,6.0,25.0,1.0
2019-05-25,RAIN_STORM,1,ESIAMA,1,2019.0,5.0,25.0,5.0
2019-07-15,RAIN_STORM,1,HUJIBRE,1,2019.0,7.0,15.0,0.0
2019-08-18,FLOOD,1,BEKWAI,1,2019.0,8.0,18.0,6.0
2019-11-28,RAIN_STORM,1,NKETIESO,1,2019.0,11.0,28.0,3.0
2019-08-03,WIND_STORM,1,KRAYAWKROM,1,2019.0,8.0,3.0,5.0
2019-05-05,WIND_STORM,1,ESIAMA,1,2019.0,5.0,5.0,6.0
2020-01-22,FIRE,1,DIXCOVE,1,2020.0,1.0,22.0,2.0
2020-03-12,WIND_STORM,1,KEJABIL,1,2020.0,3.0,12.0,3.0
2020-03-01,FIRE,1,DIXCOVE,1,2020.0,3.0,1.0,6.0
2020-04-22,RAIN_STORM,1,KEJABIL,1,2020.0,4.0,22.0,2.0
2020-04-26,WIND_STORM,1,ACHOWA,1,2020.0,4.0,26.0,6.0
2020-04-26,WIND_STORM,1,ABOADI,1,2020.0,4.0,26.0,6.0
2020-04-27,FIRE,1,ESIAMA,1,2020.0,4.0,27.0,0.0
2020-05-13,FIRE,1,BEAHU,1,2020.0,5.0,13.0,2.0
2020-08-20,FIRE,1,AGONA NKWANTA MKT,1,2020.0,8.0,20.0,3.0
2020-08-24,FLOOD,1,BUTRE,1,2020.0,8.0,24.0,0.0
2020-08-28,MAN_MADE,1,BUSUA JUNCTION,1,2020.0,8.0,28.0,4.0
2020-09-22,FIRE,1,ASEMASA,1,2020.0,9.0,22.0,1.0
2020-03-14,FIRE,1,ADUM DOMINASE,1,2020.0,3.0,14.0,5.0
2020-04-06,FLOOD,1,BANSO,1,2020.0,4.0,6.0,0.0
2020-04-06,WIND_STORM,1,AYIEM,1,2020.0,4.0,6.0,0.0
2020-11-05,FIRE,1,MPOHOR,1,2020.0,11.0,5.0,3.0
2020-08-29,FIRE,1,BANSO,1,2020.0,8.0,29.0,5.0
2020-09-13,FIRE,1,MPOHOR,1,2020.0,9.0,13.0,6.0
2020-09-27,MAN_MADE,1,BANSO,1,2020.0,9.0,27.0,6.0
2020-06-02,FIRE,1,ADA NKWANTA,1,2020.0,6.0,2.0,1.0
2020-10-02,FIRE,1,NEWTOWN,1,2020.0,10.0,2.0,4.0
2020-02-16,FIRE,1,OLD TOWN,1,2020.0,2.0,16.0,6.0
2020-11-05,FIRE,1,APEMANYIM,1,2020.0,11.0,5.0,3.0
2020-11-06,MAN_MADE,1,BEPOSO,1,2020.0,11.0,6.0,4.0
2020-10-27,FIRE,1,ABOADZE,1,2020.0,10.0,27.0,1.0
2020-11-26,FLOOD,1,ABUESI,1,2020.0,11.0,26.0,3.0
2020-12-13,FIRE,1,SHAMA,1,2020.0,12.0,13.0,6.0
2020-01-13,FIRE,1,ESIAMA,1,2020.0,1.0,13.0,0.0
2020-01-21,MAN_MADE,1,OBENKROM,1,2020.0,1.0,21.0,1.0
2020-01-02,FIRE,1,SALMA,1,2020.0,1.0,2.0,3.0
2020-11-02,FIRE,1,AKPANDUE,1,2020.0,11.0,2.0,0.0
2020-02-13,FIRE,1,NEW BANKATA,1,2020.0,2.0,13.0,3.0
2020-06-03,FIRE,1,ASEMKO,1,2020.0,6.0,3.0,2.0
2020-04-14,FIRE,1,AWIEBO,1,2020.0,4.0,14.0,1.0
2020-05-05,FIRE,1,ESIAMA,1,2020.0,5.0,5.0,1.0
2020-01-07,FIRE,1,BOBRAMA,1,2020.0,1.0,7.0,1.0
2020-07-20,FIRE,1,KIKAM,1,2020.0,7.0,20.0,0.0
2020-08-18,FIRE,1,NKROFUL,1,2020.0,8.0,18.0,1.0
2020-12-09,FIRE,1,SANZULE EWE COMMUNITY,1,2020.0,12.0,9.0,2.0
2020-10-14,FIRE,1,NKROFUL,1,2020.0,10.0,14.0,2.0
2020-01-18,WIND_STORM,1,NSUAEM . DOMPIM,1,2020.0,1.0,18.0,5.0
2020-02-18,RAIN_STORM,1,"NKAMPONASE,DOMPIM",1,2020.0,2.0,18.0,1.0
2020-08-03,FIRE,1,BENSO,1,2020.0,8.0,3.0,0.0
2020-04-01,WIND_STORM,1,DOMPIM,1,2020.0,4.0,1.0,2.0
2020-04-01,WIND_STORM,1,BENSO,1,2020.0,4.0,1.0,2.0
2020-04-01,WIND_STORM,1,ADIEWOSO,1,2020.0,4.0,1.0,2.0
2020-04-18,FIRE,1,RAILWAY QTR,1,2020.0,4.0,18.0,5.0
2020-04-26,FLOOD,1,ESSAMAN,1,2020.0,4.0,26.0,6.0
2020-05-23,FLOOD,1,RAILWAY QTR,1,2020.0,5.0,23.0,5.0
2020-05-25,FIRE,1,NEW MANKESSIM,1,2020.0,5.0,25.0,0.0
2020-05-27,FIRE,1,SIMPA,1,2020.0,5.0,27.0,2.0
2020-07-14,FIRE,1,AKOON,1,2020.0,7.0,14.0,1.0
2020-05-08,FIRE,1,TARKWA,1,2020.0,5.0,8.0,4.0
2020-10-08,FIRE,1,NZEMALINE,1,2020.0,10.0,8.0,3.0
