location,ACCIDENT,COLLAPSE,DROWN,EPIDEMIC,FLOOD,INDUSTRIAL FIRE,MAN MADE(BUILDING COLLAPSE),MAN_MADE,PEST_INFESTATION,RAIN_STORM,TIDAL_WAVE,WIND_STORM
ABEASE,1.6666666666666667,0.0,0.0,11.666666666666666,10.0,0.0,0.0,58.333333333333336,0.0,3.3333333333333335,13.333333333333334,1.6666666666666667
ABENBOBOM,1.6666666666666667,0.0,0.0,13.333333333333334,0.0,0.0,0.0,73.33333333333333,0.0,0.0,10.0,1.6666666666666667
ABOADI,0.0,0.0,0.0,15.0,0.0,0.0,0.0,73.33333333333333,0.0,0.0,10.0,1.6666666666666667
ABOADZE,0.0,0.0,0.0,15.0,0.0,0.0,0.0,73.33333333333333,0.0,0.0,10.0,1.6666666666666667
ABODUAM,0.0,0.0,0.0,13.333333333333334,10.0,0.0,0.0,58.333333333333336,0.0,3.3333333333333335,13.333333333333334,1.6666666666666667
ABOI,0.0,0.0,0.0,13.333333333333334,10.0,0.0,0.0,58.333333333333336,0.0,3.3333333333333335,13.333333333333334,1.6666666666666667
ABOSO,0.0,0.0,0.0,8.333333333333332,1.6666666666666667,0.0,0.0,71.66666666666667,0.0,0.0,10.0,8.333333333333332
ABUESI,0.0,0.0,0.0,15.0,0.0,0.0,0.0,73.33333333333333,0.0,0.0,10.0,1.6666666666666667
ABUESI COMPOUND,0.0,0.0,0.0,16.666666666666664,10.0,0.0,0.0,56.666666666666664,0.0,0.0,13.333333333333334,3.3333333333333335
ABUESI-BAKAEKYIR,0.0,0.0,0.0,16.666666666666664,10.0,0.0,0.0,56.666666666666664,0.0,0.0,13.333333333333334,3.3333333333333335
ABURA,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,61.66666666666667,0.0,0.0,20.0,1.6666666666666667
"ABURA,AGONA",0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,61.66666666666667,0.0,0.0,20.0,1.6666666666666667
ACHOWA,1.6666666666666667,0.0,0.0,16.666666666666664,10.0,0.0,0.0,51.66666666666667,0.0,0.0,13.333333333333334,6.666666666666667
ADA NKWANTA,1.6666666666666667,0.0,0.0,16.666666666666664,10.0,0.0,0.0,51.66666666666667,0.0,0.0,13.333333333333334,6.666666666666667
ADAANSE,1.6666666666666667,0.0,0.0,16.666666666666664,10.0,0.0,0.0,51.66666666666667,0.0,0.0,13.333333333333334,6.666666666666667
ADABOKROM,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,61.66666666666667,0.0,0.0,20.0,1.6666666666666667
ADAKOPE,1.6666666666666667,0.0,0.0,16.666666666666664,10.0,0.0,0.0,51.66666666666667,0.0,0.0,13.333333333333334,6.666666666666667
ADANSE,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,61.66666666666667,0.0,0.0,20.0,1.6666666666666667
ADENTIEM,1.6666666666666667,0.0,0.0,16.666666666666664,13.333333333333334,0.0,0.0,45.0,0.0,1.6666666666666667,13.333333333333334,8.333333333333332
ADIENTEM,1.6666666666666667,0.0,0.0,16.666666666666664,13.333333333333334,0.0,0.0,45.0,0.0,1.6666666666666667,13.333333333333334,8.333333333333332
ADIEWOSO,0.0,0.0,0.0,16.666666666666664,1.6666666666666667,0.0,0.0,55.00000000000001,0.0,0.0,21.666666666666668,5.0
ADJEIKROM,1.6666666666666667,0.0,0.0,16.666666666666664,13.333333333333334,0.0,0.0,45.0,0.0,1.6666666666666667,13.333333333333334,8.333333333333332
ADJUMAKO MPATAASE,1.6666666666666667,0.0,0.0,16.666666666666664,13.333333333333334,0.0,0.0,43.333333333333336,0.0,3.3333333333333335,13.333333333333334,8.333333333333332
ADOBEWURA,1.6666666666666667,0.0,0.0,16.666666666666664,13.333333333333334,0.0,0.0,43.333333333333336,0.0,3.3333333333333335,13.333333333333334,8.333333333333332
ADUBRIEM,1.6666666666666667,0.0,0.0,16.666666666666664,13.333333333333334,0.0,0.0,43.333333333333336,0.0,3.3333333333333335,13.333333333333334,8.333333333333332
ADUBRIM,1.6666666666666667,0.0,0.0,16.666666666666664,13.333333333333334,0.0,0.0,43.333333333333336,0.0,3.3333333333333335,13.333333333333334,8.333333333333332
ADUM DOMINASE,1.6666666666666667,0.0,0.0,16.666666666666664,13.333333333333334,0.0,0.0,43.333333333333336,0.0,3.3333333333333335,13.333333333333334,8.333333333333332
ADWOZE,1.6666666666666667,0.0,0.0,16.666666666666664,13.333333333333334,0.0,0.0,43.333333333333336,0.0,3.3333333333333335,13.333333333333334,8.333333333333332
AGONA NKWANTA,1.6666666666666667,0.0,0.0,13.333333333333334,1.6666666666666667,0.0,0.0,56.666666666666664,0.0,0.0,16.666666666666664,10.0
AGONA NKWANTA MKT,1.6666666666666667,0.0,0.0,16.666666666666664,13.333333333333334,0.0,0.0,43.333333333333336,0.0,3.3333333333333335,13.333333333333334,8.333333333333332
AGYADEN,1.6666666666666667,0.0,0.0,16.666666666666664,6.666666666666667,0.0,0.0,43.333333333333336,0.0,3.3333333333333335,20.0,8.333333333333332
AGYAN,1.6666666666666667,0.0,0.0,16.666666666666664,6.666666666666667,0.0,0.0,43.333333333333336,0.0,3.3333333333333335,21.666666666666668,6.666666666666667
AGYEIKROM,1.6666666666666667,0.0,0.0,16.666666666666664,6.666666666666667,0.0,0.0,43.333333333333336,0.0,3.3333333333333335,21.666666666666668,6.666666666666667
AGYEZA,1.6666666666666667,0.0,0.0,16.666666666666664,6.666666666666667,0.0,0.0,43.333333333333336,0.0,3.3333333333333335,21.666666666666668,6.666666666666667
AHOBRE,1.6666666666666667,0.0,0.0,16.666666666666664,6.666666666666667,0.0,0.0,43.333333333333336,0.0,3.3333333333333335,21.666666666666668,6.666666666666667
AHUNYAME,1.6666666666666667,0.0,0.0,16.666666666666664,6.666666666666667,0.0,0.0,43.333333333333336,0.0,3.3333333333333335,20.0,8.333333333333332
AHWIAM,1.6666666666666667,0.0,0.0,16.666666666666664,6.666666666666667,0.0,0.0,43.333333333333336,0.0,3.3333333333333335,20.0,8.333333333333332
AIRPORT RIDGE,1.6666666666666667,0.0,0.0,16.666666666666664,6.666666666666667,0.0,0.0,41.66666666666667,0.0,3.3333333333333335,20.0,10.0
AIYINASI,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,53.333333333333336,0.0,0.0,23.333333333333332,6.666666666666667
AJOMORO ESIAM,1.6666666666666667,0.0,0.0,16.666666666666664,6.666666666666667,0.0,0.0,41.66666666666667,0.0,3.3333333333333335,20.0,10.0
AKANGO,1.6666666666666667,0.0,0.0,16.666666666666664,10.0,0.0,0.0,41.66666666666667,0.0,3.3333333333333335,16.666666666666664,10.0
"AKANGO,AKOSONU,BOMOKROM,AWOLEZO,BANKYIM,BOKRO,AJOMORO,AYISAKRO",1.6666666666666667,0.0,0.0,16.666666666666664,10.0,0.0,0.0,41.66666666666667,0.0,3.3333333333333335,16.666666666666664,10.0
AKETENCHI,1.6666666666666667,0.0,0.0,16.666666666666664,10.0,0.0,0.0,41.66666666666667,0.0,3.3333333333333335,16.666666666666664,10.0
AKONTOMBRA,1.6666666666666667,0.0,0.0,16.666666666666664,10.0,0.0,0.0,41.66666666666667,0.0,3.3333333333333335,16.666666666666664,10.0
AKOON,1.6666666666666667,0.0,0.0,13.333333333333334,1.6666666666666667,0.0,0.0,56.666666666666664,0.0,0.0,15.0,11.666666666666666
AKOSONU,1.6666666666666667,0.0,0.0,16.666666666666664,10.0,0.0,0.0,43.333333333333336,0.0,1.6666666666666667,16.666666666666664,10.0
AKOTO,1.6666666666666667,0.0,0.0,16.666666666666664,10.0,0.0,0.0,43.333333333333336,0.0,1.6666666666666667,16.666666666666664,10.0
AKPANDUE,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,53.333333333333336,0.0,0.0,21.666666666666668,8.333333333333332
AKROPONG,1.6666666666666667,0.0,0.0,13.333333333333334,0.0,0.0,0.0,58.333333333333336,0.0,0.0,20.0,6.666666666666667
AKWIDAA,1.6666666666666667,0.0,0.0,16.666666666666664,5.0,0.0,0.0,43.333333333333336,0.0,3.3333333333333335,20.0,10.0
AKYEMPIM,5.0,0.0,0.0,10.0,0.0,3.3333333333333335,0.0,51.66666666666667,0.0,0.0,0.0,30.0
AKYEPIM,1.6666666666666667,0.0,0.0,16.666666666666664,5.0,0.0,0.0,45.0,0.0,3.3333333333333335,20.0,8.333333333333332
AKYIM,1.6666666666666667,0.0,0.0,16.666666666666664,5.0,0.0,0.0,45.0,0.0,3.3333333333333335,20.0,8.333333333333332
AKYINIM,1.6666666666666667,0.0,0.0,16.666666666666664,5.0,0.0,0.0,43.333333333333336,0.0,8.333333333333332,20.0,5.0
ALEWULE,1.6666666666666667,0.0,0.0,16.666666666666664,5.0,0.0,0.0,43.333333333333336,0.0,8.333333333333332,18.333333333333332,6.666666666666667
ALLAN BEACH,1.6666666666666667,0.0,0.0,16.666666666666664,5.0,0.0,0.0,45.0,0.0,6.666666666666667,18.333333333333332,6.666666666666667
ALLOWULE,1.6666666666666667,0.0,0.0,16.666666666666664,5.0,0.0,0.0,45.0,0.0,6.666666666666667,18.333333333333332,6.666666666666667
AMAMAMO,1.6666666666666667,0.0,0.0,16.666666666666664,5.0,0.0,0.0,45.0,0.0,6.666666666666667,18.333333333333332,6.666666666666667
AMANFUL,1.6666666666666667,0.0,0.0,16.666666666666664,6.666666666666667,0.0,0.0,46.666666666666664,0.0,6.666666666666667,15.0,6.666666666666667
AMANVUMANU,3.3333333333333335,0.0,0.0,15.0,3.3333333333333335,0.0,0.0,55.00000000000001,0.0,1.6666666666666667,18.333333333333332,3.3333333333333335
AMANZULE NORTH,3.3333333333333335,0.0,0.0,15.0,3.3333333333333335,0.0,0.0,55.00000000000001,0.0,1.6666666666666667,18.333333333333332,3.3333333333333335
AMISSAHKROM,3.3333333333333335,0.0,0.0,15.0,5.0,0.0,0.0,55.00000000000001,0.0,1.6666666666666667,16.666666666666664,3.3333333333333335
ANAJI,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,56.666666666666664,0.0,0.0,18.333333333333332,10.0
ANAJI OLD BRIGADE,3.3333333333333335,0.0,0.0,15.0,3.3333333333333335,0.0,0.0,55.00000000000001,0.0,1.6666666666666667,18.333333333333332,3.3333333333333335
ANAKUM,3.3333333333333335,0.0,0.0,15.0,3.3333333333333335,0.0,0.0,55.00000000000001,0.0,1.6666666666666667,18.333333333333332,3.3333333333333335
"ANKOBRA,EIKWE",3.3333333333333335,0.0,0.0,15.0,3.3333333333333335,0.0,0.0,55.00000000000001,0.0,1.6666666666666667,18.333333333333332,3.3333333333333335
ANLO BEACH,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,51.66666666666667,0.0,0.0,23.333333333333332,10.0
"ANLOMATOUPE,HALF ASSINI,TAKINTA,ATWEBA, EDOBO,ELENDA,EFFASU,ENZINYI TIANU,BOAKWA",3.3333333333333335,0.0,0.0,15.0,1.6666666666666667,0.0,0.0,55.00000000000001,0.0,1.6666666666666667,18.333333333333332,5.0
ANLOMATUOPE,3.3333333333333335,0.0,0.0,15.0,3.3333333333333335,0.0,0.0,58.333333333333336,0.0,1.6666666666666667,13.333333333333334,5.0
ANOMAKOKROM,3.3333333333333335,0.0,0.0,15.0,3.3333333333333335,0.0,0.0,55.00000000000001,0.0,3.3333333333333335,13.333333333333334,6.666666666666667
ANTO,3.3333333333333335,0.0,0.0,15.0,3.3333333333333335,0.0,0.0,55.00000000000001,0.0,5.0,11.666666666666666,6.666666666666667
ANTO KUBEKRO,5.0,0.0,0.0,13.333333333333334,3.3333333333333335,0.0,0.0,51.66666666666667,0.0,5.0,11.666666666666666,10.0
"ANTO,ABOSO,DUNKWA,OHIAMADWEN,OLD DABOASE JUNCTION,ASSORKO,KWAABENANOKROM,NEW DABOASE JUNCTION",5.0,0.0,0.0,13.333333333333334,3.3333333333333335,0.0,0.0,51.66666666666667,0.0,5.0,11.666666666666666,10.0
ANWIA,5.0,0.0,0.0,13.333333333333334,3.3333333333333335,0.0,0.0,51.66666666666667,0.0,5.0,11.666666666666666,10.0
APATAIM,5.0,0.0,0.0,13.333333333333334,3.3333333333333335,0.0,0.0,51.66666666666667,0.0,5.0,11.666666666666666,10.0
APEMANYIM,5.0,0.0,0.0,13.333333333333334,3.3333333333333335,0.0,0.0,51.66666666666667,0.0,5.0,11.666666666666666,10.0
APEMENIM,5.0,0.0,0.0,11.666666666666666,3.3333333333333335,0.0,0.0,53.333333333333336,0.0,5.0,11.666666666666666,10.0
APOLLO SANKOBA,5.0,0.0,0.0,13.333333333333334,3.3333333333333335,0.0,0.0,53.333333333333336,0.0,5.0,11.666666666666666,8.333333333333332
APONTENKROM,5.0,0.0,0.0,13.333333333333334,3.3333333333333335,0.0,0.0,51.66666666666667,0.0,5.0,11.666666666666666,10.0
"APOWA, BEAHU, NEW AMANFUL, FUNKO, KEJEBIL",5.0,0.0,0.0,13.333333333333334,3.3333333333333335,0.0,0.0,51.66666666666667,0.0,5.0,11.666666666666666,10.0
APPEATSE,5.0,0.0,0.0,13.333333333333334,3.3333333333333335,0.0,0.0,53.333333333333336,0.0,1.6666666666666667,13.333333333333334,10.0
APPIATSE,3.3333333333333335,0.0,0.0,13.333333333333334,0.0,0.0,0.0,63.33333333333333,0.0,0.0,13.333333333333334,6.666666666666667
APREMDO,5.0,0.0,0.0,13.333333333333334,3.3333333333333335,0.0,0.0,53.333333333333336,0.0,1.6666666666666667,13.333333333333334,10.0
APREMDO TOWN,5.0,0.0,0.0,13.333333333333334,3.3333333333333335,0.0,0.0,53.333333333333336,0.0,1.6666666666666667,13.333333333333334,10.0
"ASAKRANGUA,SAMREABOI,KOKOASE",5.0,0.0,0.0,13.333333333333334,3.3333333333333335,0.0,0.0,53.333333333333336,0.0,1.6666666666666667,13.333333333333334,10.0
ASANKRANGWA,3.3333333333333335,0.0,0.0,13.333333333333334,0.0,0.0,0.0,63.33333333333333,0.0,0.0,13.333333333333334,6.666666666666667
ASANTA,6.666666666666667,0.0,0.0,13.333333333333334,3.3333333333333335,0.0,0.0,53.333333333333336,0.0,1.6666666666666667,13.333333333333334,8.333333333333332
"ASANTA,ASEMKO,OLD BAKANTA,ESIAMA,EKWEI",6.666666666666667,0.0,0.0,13.333333333333334,3.3333333333333335,0.0,0.0,53.333333333333336,0.0,1.6666666666666667,13.333333333333334,8.333333333333332
ASAWINSO,6.666666666666667,0.0,0.0,13.333333333333334,0.0,0.0,0.0,53.333333333333336,0.0,1.6666666666666667,16.666666666666664,8.333333333333332
ASEAMASA,6.666666666666667,0.0,0.0,13.333333333333334,0.0,0.0,0.0,53.333333333333336,0.0,1.6666666666666667,16.666666666666664,8.333333333333332
ASEMASA,6.666666666666667,0.0,0.0,13.333333333333334,0.0,0.0,0.0,53.333333333333336,0.0,1.6666666666666667,16.666666666666664,8.333333333333332
"ASEMASA,AKATENCHIE,ACHOWAI,TIGARI,AHUNTUMAN",6.666666666666667,0.0,0.0,13.333333333333334,0.0,0.0,0.0,53.333333333333336,0.0,1.6666666666666667,16.666666666666664,8.333333333333332
ASEMBA,5.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,55.00000000000001,0.0,1.6666666666666667,15.0,10.0
ASEMKO,5.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,55.00000000000001,0.0,1.6666666666666667,15.0,10.0
"ASEMKO,KRISAN,NKROFUL,DADWEN,ASOMASE,BASEKE,SANTASO,BONSUKROM,ASANTA",5.0,0.0,0.0,11.666666666666666,0.0,0.0,0.0,53.333333333333336,0.0,3.3333333333333335,15.0,11.666666666666666
ASEMKOW,5.0,0.0,0.0,11.666666666666666,0.0,0.0,0.0,53.333333333333336,0.0,3.3333333333333335,15.0,11.666666666666666
ASIKAFO-ANBANTEM,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,56.666666666666664,0.0,1.6666666666666667,15.0,11.666666666666666
ASSAKAE,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,56.666666666666664,0.0,1.6666666666666667,15.0,11.666666666666666
ASSUAWUAH,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,56.666666666666664,0.0,1.6666666666666667,13.333333333333334,13.333333333333334
ASUOHYIAM,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,68.33333333333333,0.0,0.0,8.333333333333332,8.333333333333332
ATEIKU,5.0,0.0,0.0,10.0,0.0,0.0,0.0,65.0,0.0,0.0,3.3333333333333335,16.666666666666664
ATEIKU OSENSO,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,56.666666666666664,0.0,1.6666666666666667,13.333333333333334,13.333333333333334
"ATEIKU,AKUTUASE",3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,56.666666666666664,0.0,1.6666666666666667,13.333333333333334,13.333333333333334
ATIEKU,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,68.33333333333333,0.0,0.0,8.333333333333332,8.333333333333332
ATITSO,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,56.666666666666664,0.0,1.6666666666666667,13.333333333333334,13.333333333333334
ATOBRAKROM,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,68.33333333333333,0.0,0.0,8.333333333333332,8.333333333333332
ATTAKROM,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,56.666666666666664,0.0,1.6666666666666667,13.333333333333334,13.333333333333334
ATWEBAN,3.3333333333333335,0.0,0.0,11.666666666666666,0.0,0.0,0.0,56.666666666666664,0.0,1.6666666666666667,13.333333333333334,13.333333333333334
ATWEREBOANDA,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,13.333333333333334,13.333333333333334
AVREBO,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,13.333333333333334,13.333333333333334
"AVREBO,GWIRA BANSO,NUABESA",5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,13.333333333333334,13.333333333333334
AWIEBO,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,13.333333333333334,13.333333333333334
AWORABO,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,13.333333333333334,13.333333333333334
AXIM,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,13.333333333333334,13.333333333333334
AYIEM,5.0,0.0,0.0,10.0,0.0,0.0,0.0,70.0,0.0,0.0,6.666666666666667,8.333333333333332
AYINASI,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,15.0,11.666666666666666
AYISAKRO,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,15.0,11.666666666666666
AYISAKROM,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,15.0,11.666666666666666
AZULELOANU,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,15.0,11.666666666666666
AZULETI,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,15.0,11.666666666666666
BADUKROM,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,15.0,11.666666666666666
BAKAEKYIR,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,15.0,11.666666666666666
BAKAKYIRE,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,15.0,11.666666666666666
BAKODO,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,15.0,11.666666666666666
BAMIAKOR,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,15.0,11.666666666666666
BAMIANKOR,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,15.0,11.666666666666666
BANKYEASE,5.0,0.0,0.0,10.0,0.0,0.0,0.0,75.0,0.0,0.0,1.6666666666666667,8.333333333333332
BANKYIM,5.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,56.666666666666664,0.0,5.0,15.0,11.666666666666666
BANSO,13.333333333333334,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,38.333333333333336
BASAKE,5.0,0.0,0.0,10.0,0.0,0.0,0.0,55.00000000000001,0.0,3.3333333333333335,15.0,11.666666666666666
BAWIA,5.0,0.0,0.0,10.0,0.0,0.0,0.0,55.00000000000001,0.0,3.3333333333333335,15.0,11.666666666666666
BEAHU,5.0,0.0,0.0,11.666666666666666,0.0,0.0,0.0,80.0,0.0,0.0,0.0,3.3333333333333335
BEKWAI,5.0,0.0,0.0,10.0,0.0,0.0,0.0,58.333333333333336,0.0,1.6666666666666667,15.0,10.0
BENSO,5.0,0.0,0.0,10.0,0.0,0.0,0.0,83.33333333333334,0.0,0.0,0.0,1.6666666666666667
BENSO ATAKROM,5.0,0.0,0.0,10.0,0.0,0.0,0.0,58.333333333333336,0.0,1.6666666666666667,15.0,10.0
BENSO-NEWSITE,5.0,0.0,0.0,10.0,0.0,0.0,0.0,58.333333333333336,0.0,1.6666666666666667,15.0,10.0
BENSO-NINGO,5.0,0.0,0.0,10.0,0.0,0.0,0.0,58.333333333333336,0.0,1.6666666666666667,15.0,10.0
BEPOH,5.0,0.0,0.0,10.0,0.0,0.0,0.0,56.666666666666664,0.0,1.6666666666666667,15.0,11.666666666666666
BEPOSO,5.0,0.0,0.0,10.0,0.0,0.0,0.0,76.66666666666667,0.0,0.0,0.0,8.333333333333332
BEPPO,5.0,0.0,0.0,10.0,0.0,0.0,0.0,58.333333333333336,0.0,3.3333333333333335,11.666666666666666,11.666666666666666
BEYIN,5.0,0.0,0.0,10.0,0.0,0.0,0.0,56.666666666666664,0.0,3.3333333333333335,13.333333333333334,11.666666666666666
"BEYIN,ELLOYIN,GHANA NUGUA,ALOMATOUPE,JAWAY WHARF,ELUBO,HALF ASSINI,ATWEBANSO,EDOBO,NEW TOWN WHARF",5.0,0.0,0.0,10.0,0.0,0.0,0.0,56.666666666666664,0.0,3.3333333333333335,13.333333333333334,11.666666666666666
BISSASO,5.0,0.0,0.0,10.0,0.0,0.0,0.0,56.666666666666664,0.0,3.3333333333333335,13.333333333333334,11.666666666666666
"BLOCKSO,ASANKRANGWA",5.0,0.0,0.0,10.0,0.0,0.0,0.0,56.666666666666664,0.0,3.3333333333333335,13.333333333333334,11.666666666666666
